text_id;tweet_cleaned_id;tweet_preprocessed
"Hallo #sobatkom 

Electronic Traffic Law Enforcement (ETLE) atau tilang elektronik adalah sistem penegakan hukum di bidang lalu lintas yang berbasis teknologi informasi dengan menggunakan kamera cctv kemudian terdata secara langsung untuk menindak pelanggar lalu lintas. https://t.co/6bYDm7uePh";hallo  electronic traffic law enforcement etle atau tilang elektronik adalah sistem penegakan hukum di bidang lalu lintas yang berbasis teknologi informasi dengan menggunakan kamera cctv kemudian terdata secara langsung untuk menindak pelanggar lalu lintas ;['hallo', 'electronic', 'traffic', 'law', 'enforcement', 'etle', 'bukti', 'langgar', 'elektronik', 'sistem', 'tega', 'hukum', 'bidang', 'lintas', 'bas', 'teknologi', 'informasi', 'kamera', 'cctv', 'data', 'langsung', 'tindak', 'langgar', 'lintas']
"*Ditlantas Polda Kalbar Gelar Talkshow Tentang ETLE di Kompas TV Pontianak*
#polripresisi 
#humaspolri 
@BidhumasKalbar 
@PNC_PoldaKalbar 
@PolresMempawah https://t.co/yyQ9XjuvLV";ditlantas polda kalbar gelar talkshow tentang etle di kompas tv pontianak      ;['ditlantas', 'polda', 'kalbar', 'gelar', 'talkshow', 'etle', 'kompas', 'tv', 'pontianak']
Untuk menjawab keraguan soal efektivitas Kamera Tilang Elektronik atau ETLE yg terpasang Statis di beberapa wilayah jalan arteri dan Tol. Ditlantas Polda Metro jaya  telah  meluncurkan ETLE mobile. Etle Mobile rencananya juga akan dioperasikan di ruas jalan tol. https://t.co/nw5BGBwFt2;untuk menjawab keraguan soal efektivitas kamera tilang elektronik atau etle yg terpasang statis di beberapa wilayah jalan arteri dan tol ditlantas polda metro jaya telah meluncurkan etle mobile etle mobile rencananya juga akan dioperasikan di ruas jalan tol ;['ragu', 'efektivitas', 'kamera', 'bukti', 'langgar', 'elektronik', 'etle', 'pasang', 'statis', 'wilayah', 'jalan', 'arteri', 'tol', 'ditlantas', 'polda', 'metro', 'jaya', 'luncur', 'etle', 'mobile', 'etle', 'mobile', 'rencana', 'operasi', 'ruas', 'jalan', 'tol']
@detikcom Kan masih ad tilang elektronik. Pelanggaran yg nampak harus di tertipkan .; kan masih ad tilang elektronik pelanggaran yg nampak harus di tertipkan ;['bukti', 'langgar', 'elektronik', 'langgar', 'nampak', 'tip']
Jumlah dakgar lantas selama 1x24 jam yang tercapture kamera ETLE https://t.co/SbF58g1Pip;jumlah dakgar lantas selama x jam yang tercapture kamera etle ;['dakgar', 'lantas', 'x', 'jam', 'tercapture', 'kamera', 'etle']
"ETLE MOBILE PRESISI POLDA JATENG

Penindakan pelanggaran lalu lintas secara elektronik dan humanis dengan menggunakan Teknologi.

Jepret jepreettt silahkan lanjut aja gpp tapi 2 hari lagi surat tilangnya dikirim ke rumah. Makasiih... 😊 https://t.co/INhOi2rBFh";etle mobile presisi polda jateng penindakan pelanggaran lalu lintas secara elektronik dan humanis dengan menggunakan teknologi jepret jepreett silahkan lanjut aja gpp tapi  hari lagi surat tilangnya dikirim ke rumah makasiih  ;['etle', 'mobile', 'presisi', 'polda', 'jateng', 'tindak', 'langgar', 'lintas', 'elektronik', 'humanis', 'teknologi', 'jepret', 'jepreett', 'silah', 'apa', 'surat', 'tilang', 'kirim', 'rumah', 'makasiih']
"Tindaklanjuti Perintah Kapolri Hapus Tilang Manual, Kapolda Banten Irjen Pol. Prof. Dr. Rudy Heriyanto Launching ETLE Portable Ditlantas pada Selasa (13/12)

#PolriPresisi
Polda Banten
@silitongashinto
@divisihumaspolri https://t.co/Rr3tjh3YQq";tindaklanjuti perintah kapolri hapus tilang manual kapolda banten irjen pol prof dr rudy heriyanto launching etle portable ditlantas pada selasa   polda banten   ;['tindaklanjuti', 'perintah', 'kapolri', 'hapus', 'bukti', 'langgar', 'manual', 'kapolda', 'banten', 'irjen', 'pol', 'prof', 'dr', 'rudy', 'heriyanto', 'launching', 'etle', 'portable', 'ditlantas', 'selasa', 'polda', 'banten']
@Shaggy_Solo @gibran_tweet Gampang mengurangi kemacetan bikin kendaraan pesawat terbang mini. Itudi luar negeri ada loch mobil bisa terbang lupa saya di negara mana. Enak kena tilang elektronik 🫣. Maaf netizen kecil;  gampang mengurangi kemacetan bikin kendaraan pesawat terbang mini itudi luar negeri ada loch mobil bisa terbang lupa saya di negara mana enak kena tilang elektronik  maaf netizen kecil;['gampang', 'kurang', 'macet', 'bikin', 'kendara', 'pesawat', 'terbang', 'mini', 'itudi', 'negeri', 'loh', 'mobil', 'terbang', 'lupa', 'negara', 'enak', 'kena', 'bukti', 'langgar', 'elektronik', 'maaf', 'netizen']
"Download Sekarang Polri Super APP 

Dengan mendownload aplikasi ini, Dapatkan Informasi Mengenai layanan utama kepolisian yaitu informasi daerah rawan, pengaduan masyarakat, pengurusan SIM, STNK dan SKCK secara online, informasi E-Tilang,  hingga informasi mengenai Pos Polisi. https://t.co/wBAlm59XSb";download sekarang polri super app dengan mendownload aplikasi ini dapatkan informasi mengenai layanan utama kepolisian yaitu informasi daerah rawan pengaduan masyarakat pengurusan sim stnk dan skck secara online informasi etilang hingga informasi mengenai pos polisi ;['download', 'polri', 'super', 'app', 'mendownload', 'aplikasi', 'dapat', 'informasi', 'layan', 'utama', 'polisi', 'informasi', 'daerah', 'rawan', 'adu', 'masyarakat', 'urus', 'sim', 'stnk', 'skck', 'online', 'informasi', 'etilang', 'informasi', 'pos', 'polisi']
"@tanyarlfes Jadi org org itu pasti merasa senang karena dia telah melanggar namun tidak di hukum, mereka melupakan bahwa ada cctv yang melihat pelanggaran lalu lintas mereka, dan di kirimlah surat tilang elektronik 

Sama seperti kasus ini, mungkin merek masih merasa senang dan melupakan"; jadi org org itu pasti merasa senang karena dia telah melanggar namun tidak di hukum mereka melupakan bahwa ada cctv yang melihat pelanggaran lalu lintas mereka dan di kirimlah surat tilang elektronik sama seperti kasus ini mungkin merek masih merasa senang dan melupakan;['org', 'org', 'senang', 'langgar', 'hukum', 'lupa', 'cctv', 'langgar', 'lintas', 'kirim', 'surat', 'bukti', 'langgar', 'elektronik', 'merek', 'senang', 'lupa']
